ciclo,duracion_s,error_rms_rad,error_max_abs_rad
1,5.778033418,0.009652765415299355,0.0434002474266344
2,5.759867202,0.008482737533492012,0.040380693563748404
3,5.759985889,0.008192973640107081,0.036447527206234454
4,5.75986386,0.008192987522610178,0.036447527206243446
5,5.760053374,0.008192988249438494,0.03644752720625266
6,5.759967756,0.00819298880858181,0.03644752720626154
7,5.760244061,0.008207048376547576,0.036447527207396524
8,5.759889806,0.008409028525989324,0.04038072873020526
9,5.759853341,0.009076622882703143,0.04038072873021381
10,5.760074853,0.008975664685295525,0.04038072870395226
11,5.759969388,0.008193077719968645,0.03644752720587596
12,5.760045436,0.008193013200097847,0.03644752720588762
13,5.760013089,0.008193005720523547,0.036447527205398345
14,5.760188746,0.008193021536256385,0.036447527205408115
15,5.759846882,0.008193033836074722,0.03644752720541777
16,5.759957547,0.00883141151287628,0.040380728729860316
17,5.760149074,0.009026227557580986,0.04038072870381171
18,5.759831518,0.008737468880639247,0.04038072872988352
19,5.760082246,0.009076671382761472,0.04038072872989251
20,5.759799195,0.008436437120493436,0.04038069356352203
21,5.760320065,0.00836287045278859,0.04038072872991039
