leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,19,0.2588642099473685,0.242118606,0.271224878,61.27700812254192
fl,landing,18,0.5146433398888889,0.327140199,0.539740362,61.27700812254192
fr,liftoff,18,0.2569636424444444,0.244022093,0.272699204,61.816538919959676
fr,landing,18,0.5266926778333334,0.518622218,0.542156173,61.816538919959676
rl,liftoff,18,0.2602280817777778,0.248956115,0.273540724,89.00202862338453
rl,landing,18,-0.2233511071111111,-0.236050637,-0.214116005,89.00202862338453
rr,liftoff,16,0.25843855893750006,0.245456137,0.272880716,88.81665527257023
rr,landing,16,-0.226834796,-0.238984908,-0.207217155,88.81665527257023
