leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,25,0.42763298743999995,0.411410664,0.448337434,61.04420102787415
fl,landing,26,1.342197772923077,0.090931217,1.401951413,61.04420102787415
fr,liftoff,26,0.4271336730769231,0.382704484,0.442802719,61.06426321805431
fr,landing,25,1.3911824774800001,1.369034937,1.404636394,61.06426321805431
rl,liftoff,0,,,,75.39741557756898
rl,landing,0,,,,75.39741557756898
rr,liftoff,0,,,,74.88924694448367
rr,landing,0,,,,74.88924694448367
