leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,26,0.40769900642307694,0.393538576,0.423146834,58.82827711084251
fl,landing,26,1.1404153773076922,0.139714918,1.189888844,58.82827711084251
fr,liftoff,26,0.4047145931153846,0.374488983,0.413408714,59.31262406186294
fr,landing,26,1.1789667421923076,1.168985534,1.18806018,59.31262406186294
rl,liftoff,0,,,,75.3315486483987
rl,landing,0,,,,75.3315486483987
rr,liftoff,0,,,,74.96391482787372
rr,landing,0,,,,74.96391482787372
