leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,21,0.45667375623809514,0.435575815,0.476183433,63.204242805425025
fl,landing,21,1.630901683952381,0.096400418,1.715329504,63.204242805425025
fr,liftoff,21,0.4543955883809524,0.430520373,0.469285207,63.02660795759836
fr,landing,21,1.6367286343809524,0.209313218,1.717870714,63.02660795759836
rl,liftoff,0,,,,75.23264269781774
rl,landing,0,,,,75.23264269781774
rr,liftoff,0,,,,75.2256183816683
rr,landing,0,,,,75.2256183816683
