ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.759566712,5.759566712,338,0.011824801736190126,0.0020530714075337074,-0.0015081549364749831,0.004643625981309806,0.22235582459027625,0.22436334103957856,0.22366146847038354,1.0480019039809991,2.12922051235542,1.3183701106801022,3.0327412484020426,0.007507493130168741,0.37768623509389837
2,5.759566712,11.519644226,5.760077514,338,0.016879845994393457,0.0029304893820207467,-0.0004405107935136817,0.005124857457551339,0.2229526707570763,0.2247681071691471,0.2240087515181118,1.0645547220035443,2.1710987280023333,1.3686764029017144,3.0847310817773566,0.007515675208964567,0.3780950438837494
3,11.519644226,17.279427944,5.759783718,337,0.018110897522750653,0.003144371110004004,-0.00029754619669085684,0.0050997693657236194,0.22332092247543836,0.22487450295174977,0.22419932658817002,0.957723757072278,2.0236034375299194,1.4397949342715672,3.136276661155745,0.007424019249712477,0.37839350215043144
