leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,37,0.262170838945946,0.243829025,0.271090684,60.1004639355504
fl,landing,37,0.5405297226756757,0.352575604,0.561095981,60.1004639355504
fr,liftoff,37,0.2514649481351351,0.025184936,0.271181723,61.26174004510145
fr,landing,36,0.5466059535000001,0.536831424,0.567321616,61.26174004510145
rl,liftoff,0,,,,87.73379041848148
rl,landing,0,,,,87.73379041848148
rr,liftoff,0,,,,87.38926722906074
rr,landing,0,,,,87.38926722906074
