leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,27,0.2649939931111111,0.255080928,0.277858097,54.11518669677074
fl,landing,27,1.1115235948148146,0.370375058,1.386336308,54.11518669677074
fr,liftoff,27,0.2667768480740741,0.256601391,0.277712498,54.23118363670838
fr,landing,26,1.1720107984615384,0.491077218,1.386128757,54.23118363670838
rl,liftoff,0,,,,87.52399351936192
rl,landing,0,,,,87.52399351936192
rr,liftoff,0,,,,87.48833301405854
rr,landing,0,,,,87.48833301405854
