leg,transition,paired_transitions,mean_delay_s,min_delay_s,max_delay_s,agreement_percent
fl,liftoff,34,0.25373150523529414,-0.188711127,0.276274289,46.99429473181901
fl,landing,34,0.8849254158529412,0.32664544,0.911980634,46.99429473181901
fr,liftoff,34,0.26756007379411767,0.257817475,0.284904334,46.93498221900394
fr,landing,33,0.9023619543939394,0.891949289,0.911776845,46.93498221900394
rl,liftoff,34,0.22377441435294115,0.212594196,0.239676358,87.53490796349877
rl,landing,34,0.04561609288235293,0.030698147,0.05651843,87.53490796349877
rr,liftoff,33,0.22293214457575758,0.211565066,0.236484639,87.67840580544862
rr,landing,33,0.043547406909090924,0.028789835,0.052880707,87.67840580544862
