metrica,unidad,media_ensayo_1,media_ensayo_2,diferencia_absoluta,diferencia_relativa_pct,rmse_ciclo_a_ciclo
Duración observada,s,4.7978887863684205,4.794744052526315,-0.0031447338421051185,-0.06554411705081237,0.010240833483925852
Avance,m/ciclo,0.02379657475902842,0.02377236976713694,-2.4204991891482036e-05,-0.10171628537547683,0.00023334589030302806
Velocidad media,m/s,0.0049598205590684315,0.00495802642750325,-1.7941315651817669e-06,-0.0361733160265529,4.7407727101951505e-05
Excursión lateral,m,0.01495609447015633,0.01498499852369313,2.890405353679973e-05,0.1932593672397257,6.328799670436403e-05
Altura media,m,0.2238501510400263,0.22384848774650043,-1.663293525883125e-06,-0.0007430388222457414,3.1704637370621625e-06
Roll máximo absoluto,grados,2.255262559639233,2.255254725539109,-7.834100123726984e-06,-0.0003473697592434727,0.000243855827184876
Pitch máximo absoluto,grados,4.4111110974194,4.411041499423137,-6.959799626304886e-05,-0.0015777883332787801,0.0017652893765704363
Salto articular máximo,rad,0.018007129062992427,0.018013858355722487,6.7292927300594e-06,0.037370158821647965,0.00011669264254856767
