semilla,modo,ang_max_rad,fallos
11,nominal,0.028589088452186728,0
11,ppo_residual,0.030052853008830493,0
23,nominal,0.024566578402657975,0
23,ppo_residual,0.027234805537784724,0
37,nominal,0.030413749734256135,0
37,ppo_residual,0.028928226734962835,0
53,nominal,0.027562391597645196,0
53,ppo_residual,0.02846079989003424,0
71,nominal,0.03180743484285588,0
71,ppo_residual,0.028694429411884492,0
