marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
gateo,9,1.620000,3,tibia,0.315966086
gateo,10,1.800000,0,coxa,0.063368377
gateo,10,1.800000,0,femur,-0.197207605
gateo,10,1.800000,0,tibia,0.172352543
gateo,10,1.800000,1,coxa,-0.062925861
gateo,10,1.800000,1,femur,-0.016821230
gateo,10,1.800000,1,tibia,-0.148423571
gateo,10,1.800000,2,coxa,0.063368377
gateo,10,1.800000,2,femur,-0.190759991
gateo,10,1.800000,2,tibia,0.158925741
gateo,10,1.800000,3,coxa,-0.092289103
gateo,10,1.800000,3,femur,-0.769566848
gateo,10,1.800000,3,tibia,0.944519549
gateo,11,1.980000,0,coxa,0.000000000
gateo,11,1.980000,0,femur,0.030011227
gateo,11,1.980000,0,tibia,-0.007840965
gateo,11,1.980000,1,coxa,0.000000000
gateo,11,1.980000,1,femur,0.026432804
gateo,11,1.980000,1,tibia,-0.001344200
gateo,11,1.980000,2,coxa,0.000000000
gateo,11,1.980000,2,femur,0.028229999
gateo,11,1.980000,2,tibia,-0.004570980
gateo,11,1.980000,3,coxa,0.000000000
gateo,11,1.980000,3,femur,0.000000000
gateo,11,1.980000,3,tibia,0.000000000
gateo,12,2.160000,0,coxa,-0.063368377
gateo,12,2.160000,0,femur,-0.039901679
gateo,12,2.160000,0,tibia,-0.111701931
gateo,12,2.160000,1,coxa,0.062925861
gateo,12,2.160000,1,femur,-0.218280911
gateo,12,2.160000,1,tibia,0.162813239
gateo,12,2.160000,2,coxa,-0.063368377
gateo,12,2.160000,2,femur,-0.032582107
gateo,12,2.160000,2,tibia,-0.123555838
gateo,12,2.160000,3,coxa,0.062925861
gateo,12,2.160000,3,femur,-0.211287042
gateo,12,2.160000,3,tibia,0.202103988
gateo,13,2.340000,0,coxa,-0.039381246
gateo,13,2.340000,0,femur,-0.016719945
gateo,13,2.340000,0,tibia,-0.066431922
gateo,13,2.340000,1,coxa,0.069733134
gateo,13,2.340000,1,femur,0.301374804
gateo,13,2.340000,1,tibia,-0.892535747
gateo,13,2.340000,2,coxa,-0.039381246
gateo,13,2.340000,2,femur,-0.012987347
